nStatsCourses,Comfort,Anxiety,nComputers,nCompBreak,MacPC,Term
2,4,3,3,1,2,2011
2,2,3,1,0,1,2011
2,4,2,1,0,1,2011
3,3,3,2,0,1,2011
3,3,1,2,0,1,2011
4,3,4,1,0,1,2011
4,3,3,2,0,1,2011
3,4,3,1.5,0.5,1,2011
2,2,4,1,1,1,2011
4,3,2,5,1,1,2011
5,2,3,7,1,1,2011
6,4,1,2,1,1,2011
7,4,2,1,3,1,2011
2,4,2,1.3,0,0,2011
3,3,3,1,0,0,2011
3,4,1,1,0,0,2011
3,3,2,1,0,0,2011
3,1,4,1,0,0,2011
3,3,2,2,0,0,2011
3,9,2,4,0,0,2011
4,2,3,1,0,0,2011
4,4,2,2,0,0,2011
4,2,2,2,0,0,2011
4,4,2,3,0,0,2011
4,2,3,4,0,0,2011
5,2,4,1,0,0,2011
6,4,2,4,0,0,2011
2,3,1,1,1,0,2011
3,2,4,2,1,0,2011
4,3.5,1,1,1,0,2011
5,3,2,1,1,0,2011
7,4.5,2,3,1,0,2011
3,3,4,1,2,0,2011
3,4,2,2,0,2,2012
3,4,2,2,0,2,2012
2,4,5,2,0,1,2012
3,3,3,2,0,1,2012
3,3,1,2,0,1,2012
4.5,3,3,1,0,1,2012
5,4,2,1,0.5,1,2012
4,3,2,2,1,1,2012
5,3,2,1,1,1,2012
6,3,1,2,1,1,2012
3,4,3,2,2,1,2012
2,3,3,3,0,0,2012
2,3,3,2,0,0,2012
3,2,3,1,0,0,2012
3,4,1,1,0,0,2012
3,3,2,2,0,0,2012
4,4,2,1,0,0,2012
4,4,2,2,0,0,2012
4,2,2,1,0,0,2012
5,2,3,1,0,0,2012
5,3,2,4,0,0,2012
5,3,2,2,0,0,2012
5,3,3,1,0,0,2012
4,3,3,2,1,0,2012
4,3,2,2,1,0,2012
2,1,5,2,1.5,0,2012
3,3,2,1,2,0,2012
4,3,3,3,3,0,2012
3,2,4,1,0,2,2013
3,3,1,4,0,2,2013
2,2,3,1,0,1,2013
2,3,2,2,0,1,2013
2,3,2,2,0,1,2013
2,3,4,3,0,1,2013
3,2,3,1,0,1,2013
4,2,3,0,0,1,2013
4,4,3,1,0,1,2013
4,4,2,1,0,1,2013
5,4,2,2,0,1,2013
5,3,2,1,0,1,2013
7,5,1,1,0,1,2013
3,4,2,1,0,0,2013
3,3,3,2,0,0,2013
3,3,2,1,0,0,2013
3,2,3,1,0,0,2013
3,2,2,1,0,0,2013
4,3,2,1,0,0,2013
4,4,2,2,0,0,2013
4,2,3,2,0,0,2013
4,3,2,1,0,0,2013
4,2,2,2,0,0,2013
6,3,1,1,0,0,2013
4,3,2,2,0.5,0,2013
2,3,3,1,1,0,2013
4,3,4,1,2,0,2013
3,2,3,1,0,2,2014
4,3,1,3,0,2,2014
4,2,2,4,0,2,2014
6,3,3,3,1,2,2014
3,4,1,1,0,1,2014
3,3,3,1,0,1,2014
3,1,5,1,0,1,2014
4,3,2,1,0,1,2014
4,5,1,1,0,1,2014
3,3,2,2,1,1,2014
4,1,3,1,1,1,2014
5,4.5,2,2,1,1,2014
6,3,3,5,3,1,2014
4,2,4,1,0,0,2014
4,3,2.5,1,0,0,2014
4,2,2,2,0,0,2014
4,2,2,1,0,0,2014
4,3,2,4,0,0,2014
4,3,3,2,0,0,2014
4,1,5,1,1,0,2014
3,2,4,2,1.5,0,2014
3,3,3,1,2,0,2014
2,3,2,3,0,1,2015
3,4,1,2,0,1,2015
3,3,2,1,0,1,2015
4,2,2,2,0,1,2015
4,3,3,1,0,1,2015
4,3,1,2,0.5,1,2015
2,1,5,2,2,1,2015
3,3,2,1,2,1,2015
1,2,3,2,0,0,2015
2,3,3,3,0,0,2015
4,5,2,1,0,0,2015
3,4,2,1,1,0,2015
3,2,4,1,1,0,2015
4,4,2,2,1,0,2015
6,3,3,4,1,0,2015
2,1,4,1,0,1,2016
3,1,3,2,0,1,2016
3,3,1.5,1,0,1,2016
3,3,4,1,0,1,2016
4,2,4,1,1.5,1,2016
4,4,1,1,0,0,2016
2,3,2,3,0,0,2016
2,3,3,1,0,0,2016
3,1,5,1,0,0,2016
3,3,3,2,0,0,2016
3,4,1,2,0,0,2016
3,2,3,2,0,0,2016
5,2,4.5,1,0,0,2016
5,4,2,1,0,0,2016
6,3,2,1,0,0,2016
5,4,1,1,0.5,0,2017
5,4,2,1,0,0,2017
4,3,3,2,1,0,2017
3,2,4,1,1,0,2017
2,2,3,1.5,3,1,2017
5,2,3,1,0,0,2017
6,3,1,2,0,1,2017
7,5,1,3,0,1,2017
5,1,5,1,1,0,2017
4,4,2,1,0,0,2017
2.5,2,5,1,0,0,2017
3,2,4,1,0,0,2017
4,2,3,1,1,1,2017
4,3,5,2,0,0,2017
4,3,1,3,0,0,2017
2,3,3,2,0,1,2018
4,3,2,1,0,1,2018
4,3,2,2,1,1,2018
3,2,2,1,0,0,2018
3,2,4,1,1,1,2018
5,3,3,1,0.5,1,2018
3,2,2,2,0,1,2018
4,4,1,2,1,1,2018
5,3,2.3,1,2,1,2018
3,1,5,2,1,0,2018
5,4,3,1,0,0,2018
5,4,3,1,0,1,2018
5,2,4,1,0,0,2018
2,2.5,3,2,0,2,2018
3,3,3,1,0,0,2018
4,3,3,1,0.5,2,2018
2,2,3,2,1,0,2018
3,2,3,1,0,0,2018
4.5,3,3,1,0,0,2018
10,3,3,1,1,0,2018
2,4,2,1,0,0,2018
3,3,2,2,0,1,2018
2,3,2.5,2.5,0.5,1,2018
3,4,1,1,0,0,2019
6,3,3,1,0,0,2019
3,2,2,1,0,0,2019
4,2,4,2,0,1,2019
2,2,4,2,0,1,2019
4,3,2,1,0,0,2019
5,2,3,2,40,1,2019
3,2,1,2,0,2,2019
4,2,3,2,0,2,2019
5,4,1,1,0,0,2019
4,2,3,1,0,0,2019
3,2,4,1,0,0,2019
0,2,2,1,1,1,2019
4,2,3,1,0,0,2019
6,4,1,1,0,1,2019
2,2,3,2,0,1,2019
3,2,2,2,0,0,2019
5,4,1,1,0,1,2020
4,5,1,1,0,0,2020
7,2,3,2,0,0,2020
3,3,4,1,0,0,2020
3,1,4,3,0,0,2020
3,3,2,1,1,0,2020
4,2,1,1,0,1,2020
8,5,4,1,0,0,2020
3,2,5,1,0,0,2020
2,3,4,1,0,0,2020
6,3,3,1,0,0,2020
2,1,5,2,10,1,2020
4,2,1,1,0.4,1,2020
2,2,4,1,0,0,2020
3,2,3,2,0,0,2020
2,3,4,1,0,1,2021
2,3,3,1,0,0,2021
4,3,2,2,0,0,2021
4,3,2,1,0,0,2021
5,3,2,0.8,0,1,2021
10,5,1,1,0,1,2021
2,3,2,0.9,0,0,2021
2,3,2,1,0,0,2021
4,3,2,2,1,1,2021
6,3,1,1,0,0,2021
4,2,2,1,0,0,2021
3,3,3,2,0,0,2021
3,3,2,1,0,0,2021
3,3,3,1,0,1,2021
4,3,5,1,2.5,0,2021
4,3,2,1,0,1,2021
3,2,3,1.5,1,0,2021
2,3,3,3,0,1,2021
5,2,4,1,0,1,2021
3,3,4,1,1,1,2021
4,3,2,1,10,1,2021
4,3,4,1,0,0,2022
3,3,4,3,0,0,2022
4,3,2,3,0,1,2022
3,1,4,1,10,0,2022
2,2,1,2,0,0,2022
4,3,2,1,0,1,2022
3,3,1,2,1,0,2022
3,3,2,1,0,0,2022
6,3,2,1,0,0,2022
3,2,2,1,1,0,2022
3,2,3,1,0,0,2022
6,4,1,2,0,0,2022
1,3,4,1,0,0,2022
3,1,5,2,0,1,2022
