ID,CHILDS,PHYSS,AnyPhys,SELFDET,ALCFREQ,BP
1,1.8,1,0,3.73333,2,2.89655
2,1.8,1,0,4.86667,2,1.86207
3,1.8,1,0,2.46667,3,2
4,1.6,1,0,5.4,3,2.06897
5,4.6,2.33333,1,6.46667,2,2.72414
6,3,1,0,4.93333,3,1.93103
7,1,1,0,4.4,3,2.27586
8,1.4,1,0,2.26667,3,2.06897
9,1.4,1,0,-1.6,3,3.44828
10,1.8,1,0,1,1,1.89655
11,1,1,0,4.26667,1,1.10345
12,2.4,1,0,2.2,4,3.55172
13,3,2.83333,1,2.6,2,3.68966
14,2.8,2.16667,1,3,3,2.7931
15,1.6,1.66667,1,2.86667,3,4.03448
16,1.4,1.16667,1,5.66667,3,2.72414
17,2.2,1.16667,1,3.86667,2,2.06897
18,2.8,1,0,2.33333,3,1.89655
19,4,1.83333,1,2.86667,3,2.55172
20,1.2,1,0,6.93333,2,1.44828
21,1.6,1,0,2.2,3,2.93103
22,2.2,1,0,2.73333,3,2.28571
23,2.6,1,0,4.53333,2,2.31034
24,1.2,1,0,-.6,2,1.75862
25,2.6,1,0,3.66667,2,3.10345
26,1.8,1,0,6.53333,1,2.72414
27,1.8,1.16667,1,-4.93333,1,2.62069
28,1.6,1.16667,1,6.66667,4,3.58621
29,2.4,1.33333,1,1.26667,4,2.62069
30,1.8,1,0,3.66667,2,2.13793
31,2.2,1.16667,1,5.2,2,2.48276
32,1.6,1,0,4.8,1,1.7931
33,1.2,1,0,4.6,2,1.86207
34,1.2,1,0,3.66667,3,2.34483
35,1.2,1,0,3.53333,2,2.48276
36,1.8,1,0,5.8,3,1.72414
37,1.6,1,0,3.33333,2,1.48276
38,1.6,1,0,3.86667,1,1.68966
39,1.8,1,0,2.86667,2,1.72414
40,1.6,1.33333,1,5.66667,2,2.27586
41,1.6,1,0,4.4,4,2.89655
42,1.8,1,0,3.26667,1,1.96552
43,1.4,1,0,2.2,2,2.62069
44,3.2,1.16667,1,2.13333,3,3.06897
45,1.6,1,0,4.2,2,2.55172
46,1.4,1,0,6,3,2.27586
47,1.6,1.16667,1,4.73333,3,3.03448
48,2.2,1,0,4.8,4,2.58621
49,2.2,1,0,.6,2,2.37931
50,1.8,1,0,3.2,3,2.10345
51,1.6,1.16667,1,.6,1,1.51724
52,1.8,1,0,3.8,3,2.68966
53,1,1,0,7.5,3,1.75862
54,2.8,1.16667,1,4.2,3,2.17241
55,2.2,1,0,3,2,2.37931
56,3.6,1.33333,1,1.53333,2,2.7931
57,1.8,1,0,4.33333,2,2.37931
58,1.6,1,0,4.53333,2,1.86207
59,1.4,1,0,5.6,2,2.93103
60,2.4,1,0,1.66667,3,2.58621
61,2,1,0,2.26667,1,1.86207
62,1,1,0,5,2,1.75862
63,1.4,1,0,5.26667,3,2.06897
64,3,1.66667,1,4.1,4,2.44828
65,1.6,1,0,4.86667,3,1.86207
66,2.6,1.33333,1,3,3,2.93103
67,3.2,1.33333,1,5.4,5,2.44828
68,1.2,1.16667,1,5.93333,3,3.68966
69,4.2,1.4,1,5.66667,3,3.2069
70,1.2,1,0,3,2,2.41379
71,2.6,1.16667,1,3.33333,3,2.44828
72,1.8,1.33333,1,4.26667,3,2.48276
73,2.2,1,0,1.73333,2,2.10345
74,2.4,1.5,1,7,2,1.62069
75,1.2,1,0,4.26667,2,1.51724
76,1.4,1,0,1.66667,2,2.24138
77,2,1,0,3.4,3,1.51724
78,2.2,1,0,2.53333,2,2.27586
79,2.2,1,0,6.33333,2,1.75862
80,3,1,0,3,2,2.7931
81,3.6,1.16667,1,1.46667,2,2.96552
82,1.8,1,0,5.73333,3,2.55172
83,1.4,1,0,6.06667,4,1.75862
84,2,1.83333,1,-3.6,2,2.41379
85,1.2,1,0,6,2,1.24138
86,1.4,1,0,.2,1,1.93103
87,1.8,1,0,5.4,2,2.13793
88,2,1,0,1.73333,4,1.89655
89,2.4,1,0,3.73333,4,2.17241
90,2,1,0,2.86667,3,2.37931
91,1.6,1,0,8,1,1.48276
92,2.4,1,0,2.06667,4,3.10345
93,1,1.66667,1,3.6,3,2.17241
94,2.4,1.16667,1,4,2,2.48276
95,1.2,1,0,4.86667,2,1.82759
96,2.2,1.16667,1,5.66667,1,2.24138
97,2.6,1,0,2.46667,3,1.75862
98,2,1,0,4.73333,2,2.17241
99,2.4,1.16667,1,3.33333,3,2.86207
100,1.8,1,0,3.13333,1,2.62069
101,4.2,1.5,1,4.33333,4,2.96552
102,1.6,1.16667,1,2.53333,2,1.7931
103,2.2,1.16667,1,5.8,3,2.27586
104,2.6,1.16667,1,5.06667,1,2.34483
105,1.8,1.16667,1,5.2,3,2.41379
106,2.2,1,0,4.33333,2,2.82759
107,1.6,1,0,1.46667,2,1.31034
108,4.6,1.83333,1,2.86667,4,3.13793
109,2,1,0,2.2,1,2.48276
110,1.8,1.16667,1,4.86667,2,2.75862
111,2,1.16667,1,4.66667,3,1.89655
112,2.2,1.33333,1,2.93333,2,2.03448
113,1.8,1,0,2.13333,4,1.58621
114,1.4,1,0,2.8,3,1.58621
115,1.8,1,0,3.4,2,2.75862
116,2.6,1,0,6.93333,3,2.2069
117,1.4,1,0,3.86667,1,1.37931
118,2,1,0,5.46667,3,2.2069
119,2,1.33333,1,1.6,4,3.71429
120,2,1,0,6.6,3,1.55172
121,2,1.66667,1,.66667,1,2.72414
122,3.4,1.16667,1,1.2,3,1.82759
123,1.4,1,0,4.13333,2,2.10345
124,1.8,1,0,4.13333,4,1.86207
125,3.4,1.33333,1,-.73333,3,3.48276
126,1.4,1,0,5,2,1.58621
127,1.4,1,0,5.53333,3,1.51724
128,1.6,1,0,3.46667,2,1.93103
129,2.8,1,0,5.33333,1,1.55172
130,2.2,1.16667,1,1.93333,1,2.10345
131,2.6,1,0,.6,3,2.31034
132,1.4,1,0,2.93333,3,2.31034
133,2,1,0,.26667,3,2.82759
134,4,1,0,.8,2,2.72414
135,5,4.33333,1,5.2,2,2.06897
136,4,3,1,2.73333,2,3.37931
137,1.8,1.5,1,6.13333,3,2.68966
138,1.6,1,0,1.6,2,1.96552
139,2.4,1,0,3.33333,2,1.55172
140,1.8,1,0,3.73333,2,1.55172
141,1.2,1,0,7.66667,3,2.31034
142,1.2,1,0,6.06667,2,1.89655
143,1.6,1,0,5.73333,2,1.75862
144,1.8,1,0,4.53333,3,1.55172
145,1.8,1,0,.46667,2,1.75862
146,1.8,1.16667,1,2.86667,3,1.41379
147,1.8,1.16667,1,-.4,3,2.75862
148,2,1,0,2.8,3,1.31034
149,2.4,1,0,5.6,1,1.82759
150, , ,1, ,2, 
151,1.8,1,0,3.66667,3,2.96552
152,2.2,1,0,1.86667,1,2.27586
153,4.8,1.66667,1,4.93333,3,2.86207
154,1.6,1,0,6.6,2,3.75862
155,2.6,1,0,-.6,3,2
156,1.2,1,0,5.53333,3,2.2069
157,1.4,1,0,3.2,3,2.34483
158,1.8,1,0,3.73333,3,3
159,1.2,1,0,2.53333,3,1.86207
160,1.6,1,0,5,3,1.75862
161,3.6,1,0,-2.73333,2,1.62069
162,2.2,1,0,6,3,2.41379
163,1.8,1,0,1.4,3,2.24138
164,1.4,1,0,4.66667,1,1.27586
165,2.2,1.16667,1,5.93333,3,2.7931
166,3.4,1,0,5,3,2.31034
167,1.4,1,0,5.26667,3,2.13793
168,2.4,1,0,6,2,2.10345
169,1.4,1,0,4.73333,3,1.55172
170,2.2,1,0,3.46667,3,2.51724
171,1.6,1,0,5.6,3,3.10345
172,1.6,1,0,2.73333,2,2.93103
173,2.4,1.16667,1,3.26667,4,1.68966
174,1.2,1,0,2.66667,2,1.75862
175,2,1.16667,1,.06667,3,2.68966
176,2.2,1,0,5.66667,3,1.96552
177,2.2,1.16667,1,-1.46667,4,2.58621
178,2.2,1,0,2.53333,3,2.27586
179,1.2,1,0,7,1,1.44828
180,2.6,1.16667,1,4.93333,3,1.82759
181,2.6,1.66667,1,6.8,3,2.72414
182,1.8,1,0,-5.73333,3,1.7931
183,2.2,1.16667,1,2.53333,3,2.03448
184,3,2,1,3.53333,1,2.37931
185,2,1,0,4.46667,3,1.51724
186,2.4,1,0,5.93333,1,2.34483
187,2.25,4.66667,1,-.4,4,2.96552
188,2.8,1.33333,1,3.8,3,2.31034
189,2,1.33333,1,6.46667,2,1.89655
190,2,1,0,5.66667,2,2.17241
191,1.8,1,0,4,1,1.75862
192,3,1,0,3,1,1.72414
193,1.2,1,0,3.86667,2,1.34483
194,1.8,1,0,3.8,3,1.68966
195,1.6,1,0,3.26667,3,2.55172
196,2.4,2.33333,1,3.46667,3,3.75862
197,2.2,1,0,2.26667,2,1.58621
198,3.2,1.16667,1,4.86667,3,2.10345
199,1.6,1,0,3.6,2,2.17241
200,2.2,1,0,5.33333,3,2.10345
201,2,1.16667,1,3.33333,4,2.93103
202,1,1,0,6.6,3,1.82759
203,3,2.83333,1,-.66667,4,3.17241
204,4.8,3.33333,1,3.93333,4,3.7931
205,2.4,1,0,3.66667,3,2.2069
206,2.6,1,0,4.66667,3,1.72414
207,1.8,1,0,2.66667,2,1.75862
208,1.4,1,0,3.46667,2,1.2069
209,2,1,0,4.66667,1,2.44828
210,3,1.5,1,.93333,2,2.72414
211,1.8,1,0,.86667,3,2.55172
212,1.4,1,0,2.86667,1,1.89655
213,2.6,1,0,3.4,3,1.75862
214,2.4,1,0,2.2,1,1.37931
215,1.2,1,0,3.2,2,1.58621
216,1.8,1.16667,1,1.06667,2,2.31034
217,2.2,1.33333,1,5.73333,2,2.10345
218,2.4,1,0,4.53333,3,2.41379
219,3,1.33333,1,4.4,1,2.89655
220,2.8,1.16667,1,2.53333,3,3.27586
221,2.4,1,0,2.8,2,2.17241
222,2.6,3.33333,1,-.06667,2,2.27586
223,1.6,1,0,3,3,1.37931
224,4,1.33333,1,4.73333,3,1.96552
225,1.6,1,0,-.4,4,2.2069
226,1.8,1,0,3.93333,3,2.58621
227,1.6,1,0,2.13333,2,2
228,1.6,1,0,.53333,3,2.89655
229,1.8,1.2,1,2.46667,3,2.10345
230, , ,1, ,3, 
231,1.6,1,0,1,2,2.32143
232,2,1,0,4,3,3
233,2.6,1.16667,1,6.26667,2,2.65517
234,1.8,1,0,1.13333,2,1.89655
