specimen,class,cap.color,cap.shape,cap.surface,gill.size,gill.color,gill.attachment,population
2,e,y,x,s,b,k,f,n
5,e,g,x,s,b,k,f,a
8,e,w,b,y,b,n,f,s
29,e,n,f,f,n,k,f,y
31,e,y,b,s,b,g,f,n
32,p,w,x,y,n,k,f,s
34,e,n,x,y,b,p,f,y
44,p,w,x,y,n,p,f,v
45,e,y,x,s,b,w,f,n
46,e,w,x,y,b,n,f,n
50,e,y,f,y,b,w,f,s
52,e,w,x,s,b,k,f,s
54,p,n,x,y,n,k,f,v
57,e,g,f,f,b,n,f,a
58,e,w,b,s,b,w,f,n
66,e,n,f,s,b,k,f,a
70,e,g,x,f,n,p,f,v
73,e,y,f,f,n,w,f,v
75,e,y,b,s,b,k,f,s
76,e,y,f,s,n,p,f,v
88,e,w,x,s,b,n,f,s
91,e,n,x,f,n,n,f,y
96,e,w,x,s,b,g,f,s
102,e,y,b,s,b,n,f,n
103,e,y,f,y,b,w,f,s
112,e,g,s,f,n,g,f,y
113,e,w,x,f,n,w,f,v
118,e,y,x,y,b,w,f,y
119,e,y,x,s,n,p,f,v
122,e,w,x,y,b,g,f,n
126,e,w,x,s,b,n,f,s
128,e,g,f,f,b,h,f,a
129,e,w,x,s,b,n,f,n
133,e,w,f,s,n,w,f,v
136,p,w,x,y,n,w,f,v
142,e,y,b,y,b,g,f,n
144,e,n,f,y,b,w,f,y
154,e,n,s,f,n,k,f,v
162,e,y,b,y,b,n,f,n
171,e,g,x,f,n,g,f,y
173,e,y,x,f,n,n,f,v
175,e,y,f,y,b,p,f,s
180,e,y,b,s,b,g,f,n
181,p,w,x,y,n,p,f,v
182,e,n,s,f,n,g,f,y
184,e,y,x,s,b,g,f,s
194,e,y,f,s,n,w,f,v
219,e,w,x,y,b,w,f,s
227,e,w,x,s,b,g,f,n
229,p,n,x,y,n,p,f,v
232,p,w,x,y,n,k,f,s
234,e,n,f,f,n,k,f,v
237,e,w,x,y,b,w,f,s
244,p,w,x,s,n,n,f,v
259,e,w,b,y,b,g,f,n
260,e,w,b,y,b,g,f,n
263,e,w,x,s,b,n,f,n
272,p,n,f,s,n,w,f,v
280,e,y,x,s,b,k,f,n
281,p,w,x,y,n,w,f,s
295,e,w,x,s,b,g,f,s
298,e,g,x,f,b,p,f,s
304,e,w,b,y,b,n,f,s
315,e,y,b,s,b,g,f,n
316,p,w,x,y,n,k,f,v
321,e,y,x,y,b,k,f,s
329,e,y,b,s,b,w,f,n
333,e,y,b,y,b,w,f,n
338,e,y,b,s,b,n,f,s
350,e,n,x,f,n,g,f,y
352,e,n,f,y,b,p,f,s
355,e,y,x,y,b,w,f,s
357,e,n,f,y,b,p,f,y
362,e,n,x,f,b,p,f,a
364,e,n,f,y,b,n,f,s
375,e,w,x,s,b,k,f,s
384,e,w,b,s,b,g,f,n
389,e,y,b,y,b,n,f,n
396,e,g,x,f,b,h,f,a
399,e,g,x,f,n,n,f,v
409,e,w,x,s,b,g,f,s
421,e,w,x,y,b,n,f,s
423,p,n,x,y,n,p,f,s
429,e,w,x,s,b,p,f,a
439,e,y,b,y,b,k,f,n
442,e,w,x,y,b,g,f,s
443,e,y,x,y,b,p,f,y
445,e,y,x,s,b,w,f,n
451,e,w,x,y,b,k,f,s
454,e,y,x,f,n,p,f,v
455,e,w,b,s,b,g,f,n
461,e,w,x,s,b,k,f,s
462,e,y,f,y,b,n,f,s
463,e,w,b,s,b,g,f,s
466,e,n,f,y,b,p,f,y
467,e,w,x,s,b,g,f,n
479,e,w,x,s,n,p,f,v
481,e,y,b,y,b,k,f,s
487,e,w,x,y,b,w,f,s
502,e,y,b,y,b,g,f,n
508,e,n,f,s,b,p,f,a
511,e,n,f,f,n,k,f,y
513,e,w,x,f,n,n,f,v
521,e,w,x,s,b,w,f,n
526,e,y,b,s,b,w,f,s
531,e,n,x,y,b,n,f,y
533,p,w,x,y,n,n,f,s
534,e,n,f,y,b,w,f,y
536,e,w,x,f,b,k,f,s
538,e,n,s,f,n,p,f,v
541,e,y,x,s,b,n,f,s
542,e,g,f,f,b,p,f,s
550,e,y,x,s,b,g,f,n
553,e,y,x,y,b,p,f,s
567,e,y,x,y,b,g,f,n
568,e,g,f,s,b,k,f,s
577,e,n,x,f,n,p,f,v
586,e,w,x,y,b,k,f,s
587,e,g,s,f,n,g,f,v
592,e,g,x,s,b,h,f,s
596,p,n,x,s,n,p,f,v
599,p,w,x,y,n,p,f,s
602,e,n,x,y,b,w,f,y
603,e,w,f,f,b,k,f,a
604,e,n,f,y,b,n,f,s
608,e,n,f,y,b,n,f,y
612,e,g,x,f,b,n,f,s
614,p,w,x,s,n,k,f,s
623,e,w,x,f,n,n,f,v
626,e,w,x,s,b,g,f,s
627,e,y,f,f,n,w,f,v
629,e,w,b,y,b,g,f,s
632,e,y,b,y,b,k,f,n
640,e,w,x,y,b,g,f,s
646,e,y,x,s,n,n,f,v
655,p,w,x,y,n,w,f,v
658,e,y,b,s,b,g,f,n
659,e,y,x,y,b,w,f,y
663,p,n,x,y,n,n,f,s
666,e,y,b,s,b,w,f,n
667,e,n,f,y,b,w,f,s
694,e,g,f,s,b,k,f,a
695,p,n,x,y,n,p,f,s
697,e,y,b,s,b,w,f,s
703,e,y,x,y,b,n,f,s
705,e,y,f,y,b,p,f,s
716,e,y,b,y,b,n,f,s
725,e,y,f,y,b,n,f,s
727,e,w,x,s,b,w,f,n
728,e,w,x,f,b,h,f,s
731,e,y,f,y,b,w,f,y
733,p,w,x,s,n,k,f,s
