specimen,class,cap.color,cap.shape,cap.surface,gill.size,gill.color,gill.attachment,population
1,p,n,x,s,n,k,f,s
3,e,w,b,s,b,n,f,n
4,p,w,x,y,n,n,f,s
6,e,y,x,y,b,n,f,n
7,e,w,b,s,b,g,f,n
9,p,w,x,y,n,p,f,v
10,e,y,b,s,b,g,f,s
11,e,y,x,y,b,g,f,n
12,e,y,x,y,b,n,f,s
13,e,y,b,s,b,w,f,s
14,p,w,x,y,n,k,f,v
15,e,n,x,f,b,n,f,a
16,e,g,s,f,n,k,f,y
17,e,w,f,f,b,k,f,a
18,p,n,x,s,n,n,f,s
19,p,w,x,y,n,n,f,s
20,p,n,x,s,n,k,f,s
21,e,y,b,s,b,k,f,s
22,p,n,x,y,n,n,f,v
23,e,y,b,y,b,k,f,s
24,e,w,b,y,b,w,f,n
25,e,w,b,s,b,g,f,s
26,p,w,f,s,n,n,f,v
27,e,y,x,y,b,n,f,n
28,e,w,x,y,b,w,f,n
30,e,y,x,s,n,n,f,v
33,e,y,x,y,b,n,f,n
35,e,y,b,y,b,n,f,s
36,e,y,x,f,n,w,f,v
37,e,g,s,f,n,k,f,v
38,p,n,x,y,n,w,f,s
39,e,y,x,f,n,p,f,v
40,e,y,b,s,b,k,f,s
41,e,y,b,y,b,n,f,s
42,e,y,x,y,b,n,f,y
43,e,n,x,f,n,g,f,y
47,e,y,x,y,b,k,f,s
48,e,w,x,s,b,w,f,n
49,e,y,x,y,b,n,f,s
51,e,n,x,y,b,w,f,s
53,e,w,b,s,b,k,f,n
55,p,w,x,s,n,k,f,v
56,e,y,b,y,b,w,f,s
59,e,y,x,s,b,k,f,n
60,e,n,x,y,b,p,f,y
61,e,g,s,f,n,k,f,v
62,e,y,b,y,b,k,f,s
63,e,y,b,s,b,g,f,s
64,e,y,b,y,b,g,f,n
65,e,w,b,y,b,n,f,s
67,e,w,x,s,b,n,f,s
68,e,y,f,y,b,w,f,s
69,e,y,x,y,b,w,f,n
71,e,y,f,f,n,p,f,v
72,e,w,b,y,b,g,f,s
74,e,n,x,y,b,p,f,s
77,e,w,x,s,n,n,f,v
78,e,n,f,y,b,p,f,y
79,p,n,x,y,n,w,f,v
80,e,n,f,y,b,n,f,y
81,e,n,x,s,b,k,f,s
82,p,w,x,y,n,w,f,s
83,e,g,f,f,n,n,f,y
84,e,g,x,f,b,n,f,s
85,e,y,x,y,b,w,f,s
86,e,n,x,s,b,k,f,s
87,e,w,b,s,b,w,f,s
89,e,n,f,y,b,w,f,y
90,e,n,s,f,n,n,f,v
92,e,w,b,s,b,k,f,s
93,e,y,x,y,b,g,f,s
94,e,y,x,y,b,g,f,n
95,e,n,x,s,b,n,f,a
97,e,n,f,y,b,p,f,s
98,e,y,x,s,b,n,f,n
99,e,w,b,s,b,g,f,s
100,e,w,x,y,b,g,f,s
101,e,n,x,f,b,p,f,s
104,e,y,x,y,b,n,f,y
105,e,w,b,y,b,g,f,n
106,e,y,x,y,b,n,f,n
107,e,y,x,y,b,w,f,y
108,e,w,b,y,b,n,f,s
109,e,w,b,y,b,g,f,s
110,e,y,x,s,b,k,f,n
111,e,y,x,s,b,w,f,n
114,e,y,x,s,b,n,f,n
115,p,w,x,y,n,n,f,v
116,e,y,x,y,b,p,f,s
117,e,g,s,f,n,p,f,y
120,e,n,s,f,n,k,f,y
121,p,w,x,s,n,k,f,v
123,p,n,f,y,n,p,f,v
124,e,g,f,s,b,k,f,a
125,e,y,x,s,b,g,f,s
127,e,y,b,s,b,w,f,n
130,e,w,b,s,b,n,f,s
131,e,w,b,s,b,w,f,s
132,e,w,b,y,b,w,f,s
134,e,y,x,y,b,g,f,s
135,e,w,f,s,n,p,f,v
137,e,w,f,f,n,w,f,v
138,e,y,x,y,b,n,f,s
139,p,n,x,s,n,p,f,v
140,e,y,b,s,b,w,f,n
141,e,n,x,y,b,w,f,y
143,e,n,s,f,n,k,f,v
145,e,y,x,y,b,k,f,n
146,e,g,x,f,b,k,f,s
147,e,w,f,f,b,k,f,a
148,e,y,x,y,b,w,f,n
149,e,y,b,s,b,k,f,n
150,e,w,b,y,b,g,f,n
151,e,w,x,y,b,w,f,s
152,e,n,x,s,b,p,f,a
153,e,w,x,y,b,g,f,s
155,e,w,x,s,n,w,f,v
156,e,n,x,y,b,w,f,s
157,e,y,b,y,b,k,f,n
158,e,w,x,y,b,k,f,n
159,e,w,b,y,b,n,f,s
160,e,y,b,s,b,g,f,s
161,e,y,b,s,b,g,f,s
163,e,n,x,f,n,k,f,y
164,e,n,f,y,b,n,f,y
165,e,w,x,y,b,k,f,s
166,e,y,f,y,b,w,f,y
167,e,w,b,s,b,w,f,s
168,e,w,b,s,b,w,f,s
169,e,n,x,y,b,w,f,y
170,e,w,b,s,b,k,f,s
172,e,y,b,s,b,k,f,s
174,e,y,b,y,b,w,f,s
176,e,w,b,y,b,w,f,n
177,e,w,b,y,b,k,f,n
178,e,y,b,y,b,g,f,s
179,e,y,x,y,b,g,f,n
183,e,n,f,f,n,g,f,v
185,e,n,f,y,b,p,f,s
186,p,w,x,y,n,k,f,s
187,e,w,b,s,b,g,f,s
188,e,g,f,f,n,p,f,v
189,e,y,b,y,b,g,f,n
190,e,n,x,y,b,w,f,y
191,e,w,x,f,b,p,f,s
192,e,w,x,s,n,w,f,v
193,e,w,b,s,b,w,f,s
195,e,y,x,s,b,k,f,n
196,e,g,f,f,n,g,f,y
